Signup_Period,Cohort_Index,Companies,Cohort_Size,Retention_Rate
2024-01,0,37,37,1.0
2024-01,1,37,37,1.0
2024-01,2,37,37,1.0
2024-01,3,35,37,0.9459459459459459
2024-01,4,35,37,0.9459459459459459
2024-01,5,33,37,0.8918918918918919
2024-01,6,32,37,0.8648648648648649
2024-01,7,32,37,0.8648648648648649
2024-01,8,31,37,0.8378378378378378
2024-01,9,30,37,0.8108108108108109
2024-01,10,28,37,0.7567567567567568
2024-01,11,27,37,0.7297297297297297
2024-01,12,26,37,0.7027027027027027
2024-01,13,25,37,0.6756756756756757
2024-01,14,24,37,0.6486486486486487
2024-01,15,24,37,0.6486486486486487
2024-01,16,24,37,0.6486486486486487
2024-01,17,23,37,0.6216216216216216
2024-01,18,23,37,0.6216216216216216
2024-01,19,22,37,0.5945945945945946
2024-01,20,21,37,0.5675675675675675
2024-01,21,21,37,0.5675675675675675
2024-01,22,21,37,0.5675675675675675
2024-01,23,20,37,0.5405405405405406
2024-01,24,20,37,0.5405405405405406
2024-01,25,20,37,0.5405405405405406
2024-01,26,19,37,0.5135135135135135
2024-01,27,19,37,0.5135135135135135
2024-01,28,19,37,0.5135135135135135
2024-01,29,19,37,0.5135135135135135
2024-01,30,18,37,0.4864864864864865
2024-01,31,18,37,0.4864864864864865
2024-02,0,39,39,1.0
2024-02,1,39,39,1.0
2024-02,2,39,39,1.0
2024-02,3,39,39,1.0
2024-02,4,38,39,0.9743589743589743
2024-02,5,37,39,0.9487179487179487
2024-02,6,35,39,0.8974358974358975
2024-02,7,35,39,0.8974358974358975
2024-02,8,33,39,0.8461538461538461
2024-02,9,31,39,0.7948717948717948
2024-02,10,31,39,0.7948717948717948
2024-02,11,31,39,0.7948717948717948
2024-02,12,31,39,0.7948717948717948
2024-02,13,31,39,0.7948717948717948
2024-02,14,30,39,0.7692307692307693
2024-02,15,30,39,0.7692307692307693
2024-02,16,29,39,0.7435897435897436
2024-02,17,29,39,0.7435897435897436
2024-02,18,28,39,0.717948717948718
2024-02,19,28,39,0.717948717948718
2024-02,20,27,39,0.6923076923076923
2024-02,21,27,39,0.6923076923076923
2024-02,22,25,39,0.6410256410256411
2024-02,23,23,39,0.5897435897435898
2024-02,24,23,39,0.5897435897435898
2024-02,25,23,39,0.5897435897435898
2024-02,26,23,39,0.5897435897435898
2024-02,27,23,39,0.5897435897435898
2024-02,28,23,39,0.5897435897435898
2024-02,29,20,39,0.5128205128205128
2024-02,30,20,39,0.5128205128205128
2024-03,0,40,40,1.0
2024-03,1,40,40,1.0
2024-03,2,40,40,1.0
2024-03,3,40,40,1.0
2024-03,4,39,40,0.975
2024-03,5,38,40,0.95
2024-03,6,37,40,0.925
2024-03,7,36,40,0.9
2024-03,8,33,40,0.825
2024-03,9,33,40,0.825
2024-03,10,31,40,0.775
2024-03,11,30,40,0.75
2024-03,12,30,40,0.75
2024-03,13,30,40,0.75
2024-03,14,29,40,0.725
2024-03,15,28,40,0.7
2024-03,16,27,40,0.675
2024-03,17,26,40,0.65
2024-03,18,26,40,0.65
2024-03,19,25,40,0.625
2024-03,20,23,40,0.575
2024-03,21,22,40,0.55
2024-03,22,22,40,0.55
2024-03,23,22,40,0.55
