Company_ID,Month,Industry,Country,Company_Size,Employees,Plan,Monthly_Fee,Contract_Type,Acquisition_Channel,Electricity_kWh,Gas_kWh,Fuel_Litres,Business_Travel_km,Waste_kg,Water_Litres,Electricity_CO2_kg,Gas_CO2_kg,Fuel_CO2_kg,Travel_CO2_kg,Waste_CO2_kg,Total_CO2_kg,Reduction_Target_Pct,Monthly_Logins,Reports_Generated,Targets_Set,Recommendations_Viewed,Data_Completeness_Pct,MRR,Is_Active,CO2_tonnes,CO2_per_Employee_kg
ECO00001,2026-03-01,Education,USA,Micro,11,Professional,99,Monthly,Referral,1313.25,255.64,8.28,217.52,30.52,851.3,249.52,46.02,19.05,23.93,13.73,352.25,19,13,4,1,10,94.4,99,1,0.35225,32.02272727272727
ECO00001,2026-04-01,Education,USA,Micro,11,Professional,99,Monthly,Referral,1249.62,275.18,8.2,217.77,29.48,829.17,237.43,49.53,18.85,23.95,13.27,343.03,19,13,5,0,7,96.5,99,1,0.34302999999999995,31.184545454545454
ECO00001,2026-05-01,Education,USA,Micro,11,Professional,99,Monthly,Referral,1355.97,284.48,7.53,258.0,32.55,800.21,257.63,51.21,17.32,28.38,14.65,369.19,19,11,3,1,9,92.5,99,1,0.36919,33.56272727272727
ECO00001,2026-06-01,Education,USA,Micro,11,Professional,99,Monthly,Referral,1227.77,240.42,7.81,266.86,32.75,846.34,233.28,43.28,17.96,29.35,14.74,338.61,19,14,4,0,5,92.3,99,1,0.33861,30.782727272727275
ECO00001,2026-07-01,Education,USA,Micro,11,Professional,99,Monthly,Referral,1346.64,240.39,7.53,264.23,30.22,879.25,255.86,43.27,17.31,29.07,13.6,359.1,19,11,4,1,8,94.1,99,1,0.35910000000000003,32.64545454545455
ECO00001,2026-08-01,Education,USA,Micro,11,Professional,99,Monthly,Referral,1334.52,260.08,7.35,239.99,30.57,785.51,253.56,46.81,16.89,26.4,13.76,357.42,19,9,3,0,5,93.6,99,1,0.35742,32.49272727272727
ECO00002,2026-03-01,Hospitality,UK,Micro,15,Business,249,Monthly,Organic Search,2349.11,583.05,20.57,395.06,99.11,1491.72,446.33,104.95,47.3,43.46,44.6,686.64,15,9,3,0,6,87.6,249,1,0.68664,45.775999999999996
ECO00002,2026-04-01,Hospitality,UK,Micro,15,Business,249,Monthly,Organic Search,2489.03,525.13,18.5,361.05,98.7,1608.87,472.92,94.52,42.56,39.72,44.42,694.13,15,13,3,1,7,92.7,249,1,0.69413,46.275333333333336
ECO00002,2026-05-01,Hospitality,UK,Micro,15,Business,249,Monthly,Organic Search,2408.99,606.36,20.32,395.65,86.1,1337.82,457.71,109.14,46.73,43.52,38.75,695.85,15,10,5,1,7,88.2,249,1,0.69585,46.39
ECO00002,2026-06-01,Hospitality,UK,Micro,15,Business,249,Monthly,Organic Search,2304.12,600.57,18.68,430.62,86.59,1525.21,437.78,108.1,42.97,47.37,38.96,675.19,15,11,4,0,7,91.3,249,1,0.6751900000000001,45.01266666666667
ECO00002,2026-07-01,Hospitality,UK,Micro,15,Business,249,Monthly,Organic Search,2378.42,572.52,20.18,395.16,93.87,1549.57,451.9,103.05,46.41,43.47,42.24,687.07,15,10,5,1,9,94.3,249,1,0.6870700000000001,45.80466666666667
ECO00002,2026-08-01,Hospitality,UK,Micro,15,Business,249,Monthly,Organic Search,2532.27,573.11,19.57,384.71,100.99,1371.48,481.13,103.16,45.01,42.32,45.45,717.06,15,11,3,1,6,92.3,249,1,0.7170599999999999,47.803999999999995
ECO00003,2024-06-01,Technology,France,Medium,229,Professional,99,Monthly,Paid Search,19790.63,2478.12,213.5,12831.31,571.16,8033.89,3760.22,446.06,491.04,1411.44,257.02,6365.79,19,8,5,1,3,81.5,99,1,6.36579,27.798209606986898
ECO00003,2024-07-01,Technology,France,Medium,229,Professional,99,Monthly,Paid Search,17937.1,2467.45,237.46,11702.79,535.87,7567.21,3408.05,444.14,546.15,1287.31,241.14,5926.78,19,5,2,1,6,82.5,99,1,5.92678,25.881135371179038
ECO00003,2024-08-01,Technology,France,Medium,229,Professional,99,Monthly,Paid Search,20326.75,2183.24,196.81,14557.2,672.64,7964.7,3862.08,392.98,452.66,1601.29,302.69,6611.71,19,8,4,1,4,86.3,99,1,6.61171,28.872096069868995
ECO00003,2024-09-01,Technology,France,Medium,229,Professional,99,Monthly,Paid Search,18661.24,2359.2,210.82,12160.65,565.41,8208.77,3545.63,424.66,484.89,1337.67,254.43,6047.28,19,11,3,1,5,86.1,99,1,6.04728,26.407336244541483
ECO00003,2024-10-01,Technology,France,Medium,229,Professional,99,Monthly,Paid Search,18918.33,3028.59,241.04,11221.76,524.18,7957.46,3594.48,545.15,554.39,1234.39,235.88,6164.29,19,10,4,1,7,90.4,99,1,6.16429,26.91829694323144
ECO00003,2024-11-01,Technology,France,Medium,229,Professional,99,Monthly,Paid Search,18764.47,2944.43,208.28,10715.92,541.43,8473.19,3565.25,530.0,479.05,1178.75,243.65,5996.69,19,4,3,1,6,87.8,99,1,5.996689999999999,26.186419213973796
ECO00003,2024-12-01,Technology,France,Medium,229,Professional,99,Monthly,Paid Search,20419.02,2657.61,227.12,10469.21,546.19,7950.17,3879.61,478.37,522.38,1151.61,245.79,6277.77,19,11,3,1,7,86.8,99,1,6.27777,27.413842794759827
