Company_ID,Signup_Date,Industry,Country,Company_Size,Employees,Plan,Monthly_Fee,Contract_Type,Acquisition_Channel,Reduction_Target_Pct,Avg_Monthly_Logins,Avg_Reports_Generated,Avg_Data_Completeness_Pct,Initial_CO2_kg,Latest_CO2_kg,Observed_Reduction_Pct,Churn_Status,Churn_Date,Months_Active,Lifetime_Revenue
ECO00001,2026-03-18,Education,USA,Micro,11,Professional,99,Monthly,Referral,19,11.8,3.8,93.9,352.25,357.42,-1.47,Active,,6,594
ECO00002,2026-03-08,Hospitality,UK,Micro,15,Business,249,Monthly,Organic Search,15,10.7,3.8,91.1,686.64,717.06,-4.43,Active,,6,1494
ECO00003,2024-06-01,Technology,France,Medium,229,Professional,99,Monthly,Paid Search,19,8.0,2.9,85.1,6365.79,5801.43,8.87,Active,,27,2673
ECO00004,2026-08-03,Retail,USA,Medium,296,Starter,39,Monthly,Organic Search,21,5.0,3.0,87.9,10714.09,10714.09,0.0,Active,,1,39
ECO00005,2024-03-25,Professional Services,Australia,Micro,8,Professional,99,Annual,Organic Search,23,8.8,2.9,86.0,239.18,237.63,0.65,Churned,2024-10-31,8,792
ECO00006,2026-05-15,Technology,Canada,Medium,216,Starter,39,Annual,Referral,27,13.5,4.5,95.0,7108.9,6977.15,1.85,Active,,4,156
ECO00007,2025-12-13,Logistics,UK,Micro,7,Business,249,Annual,Organic Search,14,6.4,1.8,77.5,367.5,409.65,-11.47,Active,,9,2241
ECO00008,2025-02-16,Retail,Canada,Small,23,Business,249,Annual,Organic Search,17,8.8,2.9,87.6,719.92,696.69,3.23,Active,,19,4731
ECO00009,2025-09-13,Retail,UK,Micro,6,Business,249,Annual,LinkedIn,17,11.8,4.2,94.6,231.71,228.15,1.54,Active,,12,2988
ECO00010,2025-03-09,Manufacturing,UK,Small,66,Professional,99,Annual,Referral,23,11.4,3.7,96.4,4139.03,4200.3,-1.48,Active,,18,1782
ECO00011,2024-02-23,Logistics,UK,Medium,167,Starter,39,Annual,Paid Search,20,7.6,2.5,86.4,7973.46,7457.2,6.47,Churned,2025-11-30,22,858
ECO00012,2025-05-03,Retail,France,Large,1058,Business,249,Annual,LinkedIn,20,8.8,3.4,88.4,40528.83,36090.21,10.95,Active,,16,3984
ECO00013,2024-01-26,Logistics,USA,Small,63,Professional,99,Monthly,LinkedIn,24,11.4,4.2,96.1,2931.97,3010.2,-2.67,Churned,2024-05-31,5,495
ECO00014,2024-03-08,Logistics,UK,Medium,247,Starter,39,Annual,Paid Search,18,9.0,3.2,87.9,11012.47,11678.43,-6.05,Active,,30,1170
ECO00015,2025-05-15,Healthcare,USA,Small,47,Professional,99,Monthly,LinkedIn,21,10.0,3.4,88.6,2068.71,1984.3,4.08,Active,,16,1584
ECO00016,2025-10-21,Retail,UK,Medium,138,Business,249,Annual,LinkedIn,22,8.2,2.5,87.5,5527.24,5663.85,-2.47,Churned,2026-01-31,4,996
ECO00017,2025-10-09,Technology,UK,Small,41,Starter,39,Monthly,Outbound Sales,14,8.5,2.8,86.8,1192.39,1159.13,2.79,Active,,11,429
ECO00018,2025-10-06,Hospitality,Australia,Small,70,Starter,39,Annual,LinkedIn,26,9.0,3.1,88.3,2848.12,2905.13,-2.0,Churned,2026-04-30,7,273
ECO00019,2025-10-09,Technology,UK,Small,35,Business,249,Monthly,Partner,10,10.5,3.3,92.1,993.06,965.26,2.8,Active,,11,2739
ECO00020,2025-12-12,Technology,Germany,Large,628,Business,249,Annual,Partner,20,10.6,3.8,89.9,18815.53,18792.44,0.12,Active,,9,2241
ECO00021,2024-07-05,Retail,UK,Small,79,Starter,39,Annual,Referral,17,11.5,3.7,94.9,3293.14,2919.94,11.33,Active,,26,1014
ECO00022,2024-02-03,Hospitality,France,Small,61,Professional,99,Monthly,Referral,20,9.8,3.2,85.5,2317.35,2312.19,0.22,Churned,2024-06-30,5,495
ECO00023,2026-01-11,Technology,UK,Small,66,Business,249,Monthly,Partner,8,11.2,4.0,96.8,1966.76,1927.47,2.0,Active,,8,1992
ECO00024,2024-05-11,Manufacturing,UK,Small,48,Starter,39,Monthly,Referral,17,7.6,2.6,85.2,3459.31,3187.58,7.86,Churned,2026-07-31,27,1053
ECO00025,2025-05-26,Technology,France,Micro,5,Starter,39,Annual,LinkedIn,28,11.0,4.2,94.7,171.95,148.43,13.68,Active,,16,624
ECO00026,2025-07-22,Manufacturing,France,Medium,187,Business,249,Annual,Partner,24,12.6,4.0,94.6,11608.33,11433.6,1.51,Active,,14,3486
ECO00027,2026-03-01,Hospitality,Germany,Medium,281,Professional,99,Monthly,Organic Search,18,10.0,4.0,94.2,11941.52,11715.85,1.89,Active,,6,594
ECO00028,2024-10-13,Hospitality,Canada,Medium,115,Professional,99,Annual,LinkedIn,22,8.8,3.3,86.7,5122.02,4607.02,10.05,Active,,23,2277
ECO00029,2025-03-23,Hospitality,UK,Small,72,Professional,99,Monthly,Organic Search,17,9.9,3.7,89.4,3289.64,2890.71,12.13,Active,,18,1782
ECO00030,2025-02-07,Hospitality,UK,Small,47,Professional,99,Monthly,Organic Search,18,8.5,2.5,84.2,1815.79,1867.71,-2.86,Churned,2025-07-31,6,594
ECO00031,2024-02-26,Manufacturing,Canada,Medium,109,Professional,99,Monthly,Organic Search,31,11.8,3.9,95.6,7324.35,6542.86,10.67,Churned,2026-06-30,29,2871
ECO00032,2025-05-07,Hospitality,Netherlands,Medium,183,Starter,39,Annual,Outbound Sales,20,9.4,3.2,89.3,7415.02,6700.0,9.64,Active,,16,624
ECO00033,2026-03-11,Manufacturing,Germany,Micro,9,Starter,39,Monthly,Organic Search,5,10.0,2.7,90.0,618.05,606.24,1.91,Active,,6,234
ECO00034,2026-06-20,Logistics,USA,Small,62,Professional,99,Monthly,Organic Search,26,10.7,3.0,88.0,3660.54,3325.63,9.15,Active,,3,297
ECO00035,2024-01-24,Logistics,Germany,Small,56,Professional,99,Monthly,Referral,24,11.9,4.5,96.4,3291.27,3305.11,-0.42,Churned,2025-01-31,13,1287
ECO00036,2025-02-22,Manufacturing,UK,Small,35,Starter,39,Annual,Referral,20,11.8,4.2,94.1,2386.78,2260.27,5.3,Active,,19,741
ECO00037,2024-03-15,Healthcare,Netherlands,Micro,6,Starter,39,Monthly,LinkedIn,9,7.0,2.8,85.1,299.62,275.57,8.03,Churned,2025-10-31,20,780
ECO00038,2026-04-21,Professional Services,Germany,Small,49,Starter,39,Monthly,LinkedIn,12,6.6,2.8,80.3,1440.72,1379.73,4.23,Active,,5,195
ECO00039,2024-04-22,Logistics,USA,Small,25,Starter,39,Annual,Organic Search,17,10.3,3.7,93.6,1273.3,1279.31,-0.47,Churned,2025-01-31,10,390
ECO00040,2025-12-22,Manufacturing,UK,Micro,9,Professional,99,Monthly,Organic Search,13,7.9,3.0,85.7,596.62,563.62,5.53,Active,,9,891
ECO00041,2025-05-22,Manufacturing,UK,Small,79,Enterprise,699,Annual,Organic Search,18,6.9,2.8,82.1,5470.74,4959.31,9.35,Active,,16,11184
ECO00042,2026-06-03,Retail,France,Micro,18,Professional,99,Monthly,Outbound Sales,26,7.7,2.3,82.8,652.16,680.84,-4.4,Active,,3,297
ECO00043,2025-09-06,Healthcare,Germany,Small,63,Professional,99,Annual,Organic Search,18,10.8,3.8,93.3,3346.25,2902.91,13.25,Active,,12,1188
ECO00044,2024-10-15,Hospitality,Australia,Small,44,Professional,99,Annual,Partner,18,9.3,3.3,90.7,1920.6,1944.95,-1.27,Active,,23,2277
ECO00045,2024-10-25,Healthcare,France,Small,44,Starter,39,Monthly,Partner,15,9.3,2.5,88.8,2010.5,1951.47,2.94,Active,,23,897
ECO00046,2025-06-26,Professional Services,Canada,Small,41,Starter,39,Annual,Paid Search,17,9.5,3.2,86.7,1402.12,1336.95,4.65,Churned,2026-08-31,15,585
ECO00047,2024-04-25,Logistics,Netherlands,Medium,160,Starter,39,Annual,Outbound Sales,14,5.4,2.3,79.8,8218.6,8537.57,-3.88,Active,,29,1131
ECO00048,2025-07-17,Professional Services,Netherlands,Medium,211,Starter,39,Annual,Organic Search,17,9.6,3.1,90.1,6786.09,5896.16,13.11,Active,,14,546
ECO00049,2025-08-08,Retail,UK,Micro,11,Starter,39,Monthly,Organic Search,19,9.2,3.2,87.2,368.8,365.63,0.86,Churned,2026-01-31,6,234
ECO00050,2024-03-02,Healthcare,USA,Medium,233,Professional,99,Annual,Paid Search,13,10.5,3.6,95.8,9964.22,10341.97,-3.79,Churned,2024-12-31,10,990
ECO00051,2025-12-14,Technology,Canada,Medium,215,Starter,39,Annual,Partner,14,11.9,3.6,96.3,6866.77,6802.33,0.94,Active,,9,351
ECO00052,2025-05-20,Professional Services,UK,Small,77,Professional,99,Monthly,LinkedIn,21,11.0,3.6,93.3,2503.89,2659.49,-6.21,Active,,16,1584
ECO00053,2026-03-07,Retail,France,Small,22,Starter,39,Monthly,Outbound Sales,14,11.7,4.0,94.2,739.23,800.58,-8.3,Active,,6,234
ECO00054,2024-07-18,Retail,India,Small,69,Starter,39,Monthly,LinkedIn,22,7.7,2.9,85.1,2856.95,2608.83,8.68,Active,,26,1014
ECO00055,2024-11-20,Education,Netherlands,Small,53,Starter,39,Monthly,Referral,12,9.2,3.4,91.5,1605.23,1398.5,12.88,Active,,22,858
ECO00056,2024-05-22,Hospitality,UK,Medium,126,Professional,99,Monthly,LinkedIn,21,8.7,2.9,86.6,5119.94,4637.16,9.43,Active,,28,2772
ECO00057,2026-02-03,Logistics,UK,Medium,180,Starter,39,Monthly,Organic Search,27,11.4,3.6,94.9,8037.64,8338.16,-3.74,Active,,7,273
ECO00058,2024-09-20,Logistics,Canada,Small,76,Professional,99,Monthly,Outbound Sales,24,8.2,2.7,86.0,3997.66,3805.26,4.81,Active,,24,2376
ECO00059,2024-04-21,Manufacturing,USA,Micro,17,Professional,99,Annual,Organic Search,26,10.7,3.6,92.6,1158.27,1265.19,-9.23,Active,,29,2871
ECO00060,2024-12-25,Technology,India,Small,75,Business,249,Monthly,Partner,13,10.7,3.3,91.8,2078.82,2018.28,2.91,Churned,2025-06-30,7,1743
ECO00061,2025-02-20,Technology,UK,Medium,106,Enterprise,699,Annual,Organic Search,7,10.5,3.6,93.7,3026.17,3058.73,-1.08,Active,,19,13281
ECO00062,2026-02-17,Technology,UK,Medium,89,Enterprise,699,Annual,Partner,13,10.6,3.4,90.8,2461.21,2432.57,1.16,Active,,7,4893
ECO00063,2025-01-19,Healthcare,UK,Small,27,Business,249,Monthly,LinkedIn,16,8.8,2.6,87.9,1152.55,1019.44,11.55,Active,,20,4980
ECO00064,2025-10-14,Professional Services,Netherlands,Medium,218,Business,249,Monthly,Organic Search,17,12.2,3.6,96.5,7288.86,6919.17,5.07,Active,,11,2739
ECO00065,2024-01-05,Technology,India,Small,72,Starter,39,Annual,LinkedIn,16,10.8,3.6,92.4,2321.45,2011.49,13.35,Active,,32,1248
ECO00066,2025-12-19,Hospitality,Australia,Medium,172,Starter,39,Annual,Organic Search,17,7.0,2.4,86.5,7799.98,7447.31,4.52,Active,,9,351
ECO00067,2026-06-04,Hospitality,India,Large,852,Business,249,Annual,Outbound Sales,23,8.7,4.0,92.4,34240.01,35096.44,-2.5,Active,,3,747
ECO00068,2026-03-07,Technology,USA,Micro,18,Starter,39,Monthly,Paid Search,17,13.0,4.2,95.6,559.66,563.85,-0.75,Active,,6,234
ECO00069,2026-03-09,Technology,Canada,Small,62,Professional,99,Annual,Partner,21,10.5,3.2,91.5,1734.08,1539.56,11.22,Active,,6,594
ECO00070,2025-11-22,Technology,Canada,Small,48,Starter,39,Annual,LinkedIn,23,11.0,4.4,98.3,1354.97,1254.95,7.38,Churned,2026-03-31,5,195
ECO00071,2026-02-16,Technology,Canada,Medium,98,Professional,99,Annual,Outbound Sales,26,13.4,4.3,96.2,2819.33,2979.96,-5.7,Active,,7,693
ECO00072,2025-09-27,Retail,Australia,Small,26,Starter,39,Monthly,Paid Search,22,9.5,3.6,89.2,971.08,888.5,8.5,Active,,12,468
ECO00073,2024-02-26,Retail,UK,Micro,17,Starter,39,Monthly,LinkedIn,10,9.2,2.7,87.6,546.87,481.35,11.98,Churned,2024-10-31,9,351
ECO00074,2025-09-01,Technology,USA,Micro,8,Business,249,Annual,Organic Search,14,9.8,2.9,89.3,238.65,230.84,3.27,Active,,12,2988
ECO00075,2025-10-19,Technology,USA,Medium,173,Professional,99,Annual,Referral,21,11.6,3.8,95.2,4496.72,4598.47,-2.26,Active,,11,1089
ECO00076,2026-03-19,Professional Services,India,Micro,18,Professional,99,Monthly,Outbound Sales,25,9.2,3.0,87.5,618.98,561.19,9.34,Active,,6,594
ECO00077,2026-01-03,Education,USA,Small,20,Professional,99,Annual,Paid Search,18,8.2,2.8,87.8,577.99,553.7,4.2,Active,,8,792
ECO00078,2026-05-03,Professional Services,Germany,Micro,17,Professional,99,Monthly,Organic Search,15,6.0,2.0,85.2,499.39,543.63,-8.86,Active,,4,396
ECO00079,2025-05-19,Hospitality,UK,Micro,14,Starter,39,Annual,Paid Search,25,11.8,4.1,94.9,610.04,548.33,10.12,Active,,16,624
ECO00080,2025-08-19,Education,UK,Small,72,Starter,39,Monthly,Organic Search,20,11.2,4.2,94.6,2250.36,2191.66,2.61,Active,,13,507
ECO00081,2024-10-11,Technology,USA,Small,69,Starter,39,Monthly,LinkedIn,12,7.9,2.3,78.5,2073.59,2091.4,-0.86,Churned,2025-06-30,9,351
ECO00082,2026-01-02,Healthcare,France,Medium,299,Professional,99,Monthly,Organic Search,15,6.5,2.2,77.6,13156.82,12379.01,5.91,Active,,8,792
ECO00083,2024-05-14,Manufacturing,UK,Small,29,Starter,39,Monthly,Partner,20,10.9,3.2,93.1,2126.86,1825.6,14.16,Churned,2025-04-30,12,468
ECO00084,2025-08-16,Retail,UK,Small,71,Business,249,Monthly,Paid Search,19,11.1,4.5,95.0,2618.43,2558.15,2.3,Active,,13,3237
ECO00085,2024-04-21,Education,UK,Small,50,Professional,99,Monthly,Paid Search,14,9.8,3.3,89.0,1754.94,1636.53,6.75,Churned,2025-08-31,17,1683
ECO00086,2025-10-19,Manufacturing,France,Medium,140,Professional,99,Monthly,Paid Search,28,10.8,3.6,95.0,9634.58,9701.0,-0.69,Active,,11,1089
ECO00087,2025-10-06,Technology,Canada,Small,28,Starter,39,Monthly,Organic Search,25,11.0,3.4,93.1,748.41,693.55,7.33,Churned,2026-06-30,9,351
ECO00088,2024-01-04,Manufacturing,France,Medium,295,Starter,39,Annual,Paid Search,23,10.3,3.3,93.2,18693.14,17606.36,5.81,Churned,2025-02-28,14,546
ECO00089,2025-11-21,Professional Services,India,Medium,223,Business,249,Monthly,Outbound Sales,19,11.9,4.0,94.0,6030.71,6156.15,-2.08,Active,,10,2490
ECO00090,2025-03-06,Professional Services,UK,Small,63,Business,249,Monthly,Paid Search,19,7.6,2.7,83.7,1983.49,1788.15,9.85,Churned,2025-11-30,9,2241
ECO00091,2025-02-01,Education,UK,Micro,17,Starter,39,Annual,Organic Search,17,9.8,3.2,88.5,503.16,450.74,10.42,Active,,19,741
ECO00092,2026-06-17,Professional Services,UK,Small,39,Business,249,Monthly,LinkedIn,9,7.0,2.3,82.7,1208.0,1173.67,2.84,Active,,3,747
ECO00093,2025-12-05,Technology,USA,Medium,153,Business,249,Annual,Organic Search,13,8.1,3.0,90.1,4914.95,4591.48,6.58,Active,,9,2241
ECO00094,2025-12-20,Manufacturing,Canada,Small,48,Professional,99,Monthly,Referral,19,9.7,4.0,91.4,3261.66,2752.8,15.6,Churned,2026-06-30,7,693
ECO00095,2026-04-25,Professional Services,USA,Medium,206,Starter,39,Annual,Outbound Sales,7,8.6,2.8,84.1,6808.62,7481.63,-9.88,Active,,5,195
ECO00096,2026-06-11,Professional Services,Australia,Large,673,Business,249,Monthly,Outbound Sales,13,7.3,2.7,85.2,18122.79,18267.36,-0.8,Active,,3,747
ECO00097,2025-12-02,,UK,Medium,252,Starter,39,Monthly,Organic Search,10,8.4,2.9,86.2,12382.45,11008.99,11.09,Active,,9,351
ECO00098,2024-11-03,Hospitality,USA,Medium,91,Starter,39,Monthly,Partner,21,8.9,3.2,84.8,3484.22,3516.9,-0.94,Churned,2026-01-31,15,585
ECO00099,2024-09-03,Professional Services,USA,Medium,299,Professional,99,Annual,Organic Search,11,11.1,3.5,91.2,9920.18,8363.72,15.69,Active,,24,2376
ECO00100,2024-03-03,Hospitality,UK,Small,48,Professional,99,Annual,Paid Search,19,11.9,4.1,93.8,2104.88,1949.74,7.37,Active,,30,2970
ECO00101,2024-02-16,Hospitality,USA,Medium,102,Starter,39,Annual,Organic Search,23,10.2,3.4,88.4,4443.78,4062.63,8.58,Active,,31,1209
ECO00102,2024-02-20,Hospitality,Germany,Small,21,Enterprise,699,Monthly,Referral,19,12.1,4.1,95.3,935.46,829.83,11.29,Active,,31,21669
ECO00103,2025-08-20,Healthcare,USA,Micro,8,Starter,39,Annual,LinkedIn,14,8.2,2.5,85.6,358.96,326.47,9.05,Active,,13,507
ECO00104,2025-07-16,Hospitality,Netherlands,Micro,17,Starter,39,Annual,Organic Search,25,10.4,3.2,91.5,675.76,645.57,4.47,Active,,14,546
ECO00105,2026-03-12,Education,UK,Small,70,Professional,99,Annual,Organic Search,11,10.7,2.8,89.8,2049.86,2032.65,0.84,Active,,6,594
ECO00106,2025-12-08,Education,Netherlands,Small,58,Business,249,Monthly,Paid Search,26,9.9,3.7,92.6,1917.49,1801.88,6.03,Active,,9,2241
ECO00107,2025-09-18,Healthcare,France,Micro,10,Professional,99,Monthly,Referral,20,11.3,4.0,93.1,492.59,449.09,8.83,Active,,12,1188
ECO00108,2026-07-24,Healthcare,UK,Micro,19,Business,249,Annual,Organic Search,11,10.0,3.0,88.9,842.01,858.27,-1.93,Active,,2,498
ECO00109,2025-08-18,Manufacturing,UK,Medium,171,Enterprise,699,Monthly,LinkedIn,23,8.8,3.5,86.1,11501.72,11745.39,-2.12,Active,,13,9087
ECO00110,2025-01-23,Education,India,Small,52,Business,249,Monthly,Paid Search,23,9.8,3.3,91.6,1745.27,1695.04,2.88,Active,,20,4980
ECO00111,2024-09-27,Education,UK,Medium,143,Starter,39,Monthly,Organic Search,28,10.2,3.9,92.8,4503.63,3650.96,18.93,Active,,24,936
ECO00112,2026-06-10,Retail,India,Medium,125,Starter,39,Monthly,Outbound Sales,18,7.0,3.7,90.1,4930.46,4571.21,7.29,Active,,3,117
ECO00113,2026-05-09,Hospitality,France,Medium,86,Professional,99,Annual,Paid Search,16,8.2,3.8,88.5,3981.0,3974.53,0.16,Active,,4,396
ECO00114,2025-07-20,Retail,UK,Medium,154,Starter,39,Monthly,Organic Search,23,10.1,3.1,90.8,5393.67,5374.49,0.36,Active,,14,546
ECO00115,2026-05-16,Education,UK,Small,66,Starter,39,Monthly,LinkedIn,18,11.2,3.5,89.1,1925.06,1971.69,-2.42,Active,,4,156
ECO00116,2024-12-25,Technology,UK,Medium,282,Enterprise,699,Monthly,Paid Search,18,11.0,3.0,90.6,8755.01,9954.02,-13.7,Churned,2025-01-31,2,1398
ECO00117,2026-05-26,Professional Services,Netherlands,Micro,17,Business,249,Annual,Paid Search,24,8.8,3.2,88.7,475.23,482.1,-1.45,Active,,4,996
ECO00118,2026-01-10,Education,UK,Large,311,Enterprise,699,Monthly,Organic Search,15,12.0,4.0,92.7,10371.13,9684.36,6.62,Churned,2026-03-31,3,2097
ECO00119,2026-07-20,Hospitality,USA,Small,41,Professional,99,Annual,Outbound Sales,18,8.0,3.5,95.4,1738.46,1740.7,-0.13,Active,,2,198
ECO00120,2025-10-26,Professional Services,UK,Micro,14,Business,249,Monthly,LinkedIn,12,9.2,2.2,83.7,429.24,423.88,1.25,Churned,2026-02-28,5,1245
